gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,gen19,gen20,gen21,gen22,gen23,gen24,gen25,gen26,gen27,gen28,gen29,gen30,gen31,gen32,gen33,gen34,gen35,gen36,gen37,gen38,gen39,gen40,gen41,gen42,gen43,gen44,gen45,gen46,gen47,gen48,gen49,gen50,gen51,gen52,gen53,gen54,gen55,gen56,gen57,gen58,gen59,gen60,gen61,gen62,gen63,gen64,gen65,gen66,gen67,gen68,gen69,gen70,gen71,gen72,gen73,gen74,gen75,gen76,gen77,gen78,gen79,gen80,gen81,gen82,gen83,gen84,gen85,gen86,gen87,gen88,gen89,gen90,gen91,gen92,gen93,gen94,gen95,gen96,gen97,gen98,gen99
9000.0,10000.0,6462.0,6026.0,6000.0,7798.0,6000.0,6146.0,4378.0,4480.0,4306.0,4098.0,3234.0,4972.0,3268.0,3428.0,4006.0,3128.0,2532.0,2866.0,2794.0,3584.0,3778.0,2830.0,3216.0,2602.0,2620.0,2812.0,4268.0,2374.0,3392.0,2320.0,2198.0,3180.0,3286.0,2828.0,6000.0,2320.0,2532.0,1986.0,2286.0,2074.0,2514.0,2056.0,1898.0,2654.0,2038.0,3180.0,1986.0,2020.0,2568.0,1968.0,2778.0,1898.0,2038.0,1810.0,1846.0,6000.0,1968.0,6000.0,2180.0,2020.0,1862.0,2688.0,1968.0,1828.0,1688.0,2004.0,1688.0,2514.0,2652.0,2776.0,1792.0,1898.0,1828.0,2776.0,1706.0,1810.0,6000.0,2514.0,2722.0,1722.0,1776.0,1828.0,1758.0,1968.0,2688.0,1932.0,1932.0,2496.0,2722.0,1792.0,1792.0,2020.0,1792.0,1688.0,2356.0,2108.0,2862.0
4620.0,12000.0,9000.0,8410.0,8000.0,11000.0,5234.0,4250.0,5466.0,9000.0,7956.0,6000.0,5692.0,3848.0,5708.0,4392.0,4044.0,2936.0,2742.0,3042.0,3902.0,3586.0,2778.0,2462.0,2374.0,2708.0,6000.0,3056.0,3198.0,4480.0,2568.0,2320.0,2126.0,2374.0,3898.0,2320.0,2286.0,3180.0,2004.0,2374.0,2338.0,6000.0,2108.0,2602.0,3898.0,2198.0,3038.0,7000.0,2374.0,2652.0,3126.0,1968.0,1986.0,1950.0,2056.0,2108.0,1758.0,2758.0,1810.0,1810.0,1846.0,1792.0,2320.0,1880.0,2392.0,1828.0,2758.0,1652.0,1758.0,2616.0,1776.0,2688.0,1740.0,2810.0,1688.0,1828.0,2302.0,1828.0,1670.0,1898.0,1968.0,1758.0,2598.0,1846.0,1652.0,1810.0,1616.0,3038.0,3546.0,2598.0,2652.0,1792.0,2004.0,2758.0,1740.0,1968.0,1932.0,1722.0,1968.0
9000.0,6000.0,11000.0,9000.0,6972.0,4290.0,6000.0,6000.0,6320.0,3094.0,5638.0,3816.0,6956.0,4216.0,3042.0,3304.0,3480.0,2708.0,3692.0,3094.0,2638.0,2654.0,2602.0,2602.0,2884.0,2496.0,2462.0,3374.0,2584.0,2654.0,2602.0,2602.0,2338.0,1898.0,2602.0,3480.0,1880.0,1986.0,2866.0,2214.0,2444.0,2180.0,2268.0,3968.0,2056.0,2670.0,2688.0,2056.0,1968.0,1898.0,2004.0,6000.0,2932.0,1932.0,2004.0,1968.0,1862.0,2688.0,2688.0,2056.0,1828.0,2126.0,2162.0,3462.0,2916.0,1916.0,2496.0,1670.0,2932.0,2144.0,1828.0,2880.0,1740.0,1776.0,1968.0,2338.0,2038.0,1792.0,1898.0,1740.0,1722.0,2652.0,2580.0,1758.0,2232.0,1776.0,1688.0,1652.0,1932.0,1706.0,6000.0,1792.0,1688.0,2232.0,2338.0,2320.0,4758.0,1810.0,1968.0
9000.0,10000.0,6850.0,6000.0,6168.0,5286.0,4780.0,6920.0,4480.0,4710.0,5392.0,4098.0,5216.0,4306.0,3586.0,3584.0,3250.0,2866.0,2654.0,2584.0,3058.0,2532.0,2708.0,3426.0,2742.0,2778.0,2514.0,2532.0,2602.0,7000.0,2568.0,2268.0,2108.0,3108.0,1986.0,2180.0,2162.0,2846.0,2180.0,2986.0,2180.0,2126.0,2268.0,1916.0,1898.0,2108.0,1986.0,2496.0,1916.0,2792.0,2392.0,3708.0,1862.0,6000.0,2792.0,2848.0,1862.0,1968.0,1916.0,2268.0,1916.0,1792.0,2652.0,1950.0,1616.0,2214.0,1758.0,1898.0,2862.0,1792.0,1758.0,1932.0,1758.0,1758.0,1722.0,1740.0,3758.0,2740.0,1828.0,2004.0,2038.0,2162.0,1652.0,1792.0,3338.0,2740.0,1968.0,1932.0,1670.0,1986.0,1968.0,1916.0,2480.0,2426.0,2286.0,2652.0,1792.0,2652.0,2670.0
8000.0,9000.0,9000.0,9000.0,6482.0,9000.0,7000.0,9448.0,4482.0,6290.0,3724.0,3656.0,4058.0,4550.0,4098.0,3884.0,5742.0,3338.0,5778.0,3320.0,2690.0,4214.0,2584.0,2602.0,2602.0,3338.0,3180.0,2724.0,2602.0,2268.0,2286.0,2162.0,2268.0,2320.0,2356.0,4462.0,6000.0,2302.0,2514.0,2126.0,2880.0,1898.0,2480.0,1828.0,1846.0,1968.0,2004.0,3058.0,1950.0,1986.0,2828.0,2020.0,2180.0,1810.0,1862.0,1932.0,1898.0,2880.0,1846.0,1846.0,1776.0,1916.0,1968.0,7000.0,1846.0,2828.0,1828.0,1758.0,1776.0,2880.0,2462.0,1932.0,2862.0,1740.0,2004.0,2972.0,2198.0,1758.0,1688.0,1776.0,1776.0,1862.0,2688.0,2722.0,2162.0,1580.0,3828.0,1722.0,1828.0,1580.0,1898.0,2074.0,2688.0,2074.0,2690.0,1898.0,1740.0,1950.0,2708.0
10000.0,8000.0,10000.0,7000.0,6000.0,9000.0,6000.0,9000.0,7726.0,3550.0,3832.0,4062.0,3198.0,2638.0,5428.0,2884.0,2742.0,3006.0,6356.0,3744.0,3076.0,2672.0,2830.0,3496.0,2462.0,2654.0,2426.0,2356.0,3550.0,2794.0,2462.0,2672.0,2866.0,3074.0,2320.0,3056.0,4108.0,2074.0,2214.0,2108.0,2144.0,1932.0,1880.0,2074.0,2898.0,2074.0,1898.0,2846.0,2426.0,1986.0,2740.0,2792.0,1846.0,1932.0,1880.0,2602.0,1968.0,1898.0,2898.0,2722.0,1950.0,1932.0,1722.0,1846.0,2598.0,1986.0,1758.0,1792.0,1880.0,1810.0,2496.0,1862.0,2792.0,1828.0,2198.0,1968.0,2898.0,2126.0,1688.0,1706.0,3758.0,3076.0,1758.0,1670.0,2496.0,2496.0,2688.0,1758.0,1688.0,2510.0,1828.0,2722.0,2232.0,2320.0,1898.0,2722.0,1880.0,1740.0,1776.0
50000000.0,7000.0,9000.0,9000.0,8000.0,5920.0,4394.0,6272.0,3992.0,4620.0,4866.0,4042.0,4990.0,3710.0,3076.0,5444.0,6164.0,4392.0,2794.0,3024.0,2690.0,5550.0,2620.0,7000.0,2568.0,3742.0,2514.0,2742.0,2214.0,2514.0,2144.0,2320.0,2356.0,2410.0,2830.0,2126.0,1916.0,2286.0,2426.0,2162.0,2392.0,2180.0,2652.0,2654.0,1776.0,2162.0,2950.0,2074.0,2496.0,1968.0,1776.0,2038.0,2074.0,1916.0,2162.0,2916.0,2444.0,1846.0,2198.0,2568.0,1828.0,2004.0,1792.0,1758.0,2496.0,1968.0,1810.0,1758.0,3214.0,1688.0,1758.0,2074.0,1688.0,1758.0,1688.0,2652.0,2074.0,1758.0,1968.0,1616.0,1828.0,1810.0,2232.0,2598.0,1950.0,1688.0,1740.0,3426.0,1898.0,1968.0,1968.0,1740.0,2514.0,1950.0,1758.0,2810.0,2776.0,1758.0,6000.0
9000.0,13000.0,9992.0,9000.0,9000.0,4516.0,5306.0,4690.0,4180.0,3904.0,4114.0,6000.0,2392.0,6444.0,3128.0,4444.0,3392.0,2638.0,2724.0,2742.0,2708.0,3568.0,2794.0,2690.0,2532.0,2514.0,2356.0,2954.0,3234.0,2672.0,2302.0,6000.0,2126.0,2356.0,2936.0,5426.0,2320.0,2214.0,2792.0,3126.0,2038.0,3090.0,2004.0,2108.0,2074.0,2426.0,1758.0,2126.0,2776.0,1846.0,3634.0,2090.0,2792.0,2038.0,2108.0,1776.0,2214.0,2038.0,2848.0,2074.0,1846.0,2392.0,1722.0,1722.0,2792.0,5776.0,2320.0,1828.0,2546.0,2688.0,1828.0,2020.0,2038.0,1792.0,1916.0,1986.0,2410.0,2004.0,2758.0,3722.0,2056.0,1706.0,1968.0,1898.0,1688.0,1740.0,1810.0,2688.0,2828.0,2688.0,1740.0,1616.0,1932.0,1862.0,1810.0,1792.0,2828.0,2074.0,1722.0
9000.0,9000.0,6044.0,7482.0,4378.0,7000.0,4180.0,7164.0,4080.0,7656.0,5128.0,3374.0,3250.0,3550.0,4428.0,3568.0,3444.0,2690.0,3198.0,2532.0,2954.0,2672.0,2602.0,2568.0,2550.0,2320.0,2986.0,2004.0,2568.0,2532.0,2198.0,2162.0,2144.0,6000.0,2320.0,3620.0,2268.0,2038.0,2090.0,2356.0,2932.0,6000.0,2444.0,3108.0,2812.0,2232.0,2108.0,2426.0,2602.0,2108.0,1740.0,1986.0,2880.0,2090.0,2162.0,3758.0,2510.0,1810.0,3126.0,1758.0,1898.0,2232.0,1758.0,3108.0,1932.0,1740.0,2074.0,2514.0,3480.0,3286.0,1950.0,1758.0,1776.0,2038.0,2020.0,1688.0,1862.0,1688.0,2602.0,1776.0,1688.0,1898.0,1792.0,1792.0,2180.0,1652.0,1968.0,2950.0,1740.0,1688.0,3320.0,2074.0,2108.0,1862.0,2020.0,2638.0,1740.0,1688.0,1916.0
5062.0,9000.0,3532.0,6428.0,8000.0,7000.0,4114.0,7000.0,6742.0,3886.0,4392.0,6000.0,5462.0,4356.0,4108.0,3320.0,2690.0,3832.0,2812.0,3410.0,4902.0,2848.0,3532.0,2672.0,3654.0,4550.0,2568.0,2180.0,2972.0,2198.0,3090.0,2268.0,2690.0,2144.0,6000.0,5074.0,3286.0,1898.0,2038.0,2108.0,3094.0,2634.0,4568.0,2654.0,2126.0,2828.0,1986.0,2162.0,2320.0,2232.0,1846.0,1828.0,2268.0,4688.0,1792.0,2126.0,2968.0,1968.0,2884.0,1932.0,1828.0,1950.0,1828.0,2338.0,1792.0,1810.0,1688.0,1722.0,1722.0,2004.0,2020.0,1862.0,1792.0,1898.0,1880.0,1758.0,4792.0,1722.0,1652.0,2356.0,4616.0,1828.0,1670.0,1688.0,1652.0,2898.0,2708.0,2180.0,1616.0,2126.0,2462.0,2462.0,2108.0,1792.0,2038.0,1688.0,2776.0,2198.0,2688.0
