,RRC
458,0.2051
459,0.2051
460,0.2051
461,0.2034
462,0.2034
463,0.2139
464,0.184
465,0.2121
466,0.2121
467,0.2069
468,0.2034
469,0.2051
470,0.2069
471,0.2069
472,0.2051
473,0.2104
474,0.2051
475,0.2121
476,0.2104
477,0.2051
478,0.1769
479,0.2051
480,0.2051
481,0.2051
482,0.2121
483,0.2051
484,0.184
485,0.2051
486,0.2051
487,0.2051
488,0.2034
489,0.2051
490,0.2121
491,0.2051
492,0.2069
493,0.2121
494,0.2139
495,0.2069
496,0.2051
497,0.1769
498,0.2051
499,0.2051
500,0.2139
501,0.2051
502,0.2051
503,0.2104
504,0.2069
505,0.2051
506,0.2069
507,0.2051
508,0.2051
509,0.2051
510,0.2069
511,0.2121
512,0.2104
513,0.2051
514,0.2104
515,0.2034
516,0.2069
517,0.2069
518,0.2051
519,0.2034
520,0.2034
521,0.2051
522,0.2034
523,0.2121
524,0.2104
525,0.2069
526,0.2051
527,0.2051
528,0.2034
529,0.2034
530,0.2051
531,0.2051
532,0.2051
533,0.2051
534,0.2051
535,0.2051
536,0.2069
537,0.2034
538,0.2034
539,0.2069
540,0.2192
541,0.2034
542,0.2051
543,0.2121
544,0.2051
545,0.2121
546,0.2051
547,0.2069
548,0.2051
549,0.2051
550,0.2034
551,0.2051
552,0.2069
553,0.2069
554,0.2139
555,0.2051
556,0.2069
557,0.2121
558,0.2139
559,0.2069
560,0.2069
561,0.2051
562,0.2051
563,0.2051
564,0.2034
565,0.2051
566,0.2104
567,0.2034
568,0.2051
569,0.2051
570,0.2051
571,0.2069
572,0.2051
573,0.2121
574,0.2121
575,0.2034
576,0.2051
577,0.2121
578,0.2121
579,0.2069
580,0.2051
581,0.2069
582,0.1769
583,0.2104
584,0.2034
585,0.2069
586,0.2069
587,0.2034
588,0.2051
589,0.2051
590,0.2034
591,0.2034
592,0.2051
593,0.2034
594,0.2051
595,0.2051
596,0.2051
597,0.2051
598,0.2069
599,0.2034
600,0.1857
601,0.2051
602,0.2051
603,0.2051
604,0.2121
605,0.2034
606,0.2051
607,0.2121
608,0.2051
609,0.2051
610,0.2051
611,0.2121
612,0.2069
613,0.2051
614,0.2034
615,0.2034
616,0.2034
617,0.2034
618,0.2104
619,0.2069
620,0.2051
621,0.2051
622,0.2051
623,0.2051
624,0.2034
625,0.2104
626,0.2034
627,0.2051
628,0.1857
629,0.2034
630,0.2051
631,0.2034
632,0.2051
633,0.2051
634,0.2051
635,0.2051
636,0.2104
637,0.2034
638,0.2104
639,0.2121
640,0.2034
641,0.2051
642,0.2051
643,0.2051
644,0.2069
645,0.2051
646,0.2034
647,0.2104
648,0.2034
649,0.2051
650,0.2051
651,0.2034
652,0.2069
653,0.2034
654,0.2104
655,0.2121
656,0.2069
657,0.2051
658,0.2104
659,0.2069
660,0.184
661,0.2121
662,0.2051
663,0.2051
664,0.2051
665,0.2069
666,0.2192
667,0.2069
668,0.2051
669,0.2034
670,0.2069
671,0.2121
672,0.2051
673,0.2121
674,0.2034
675,0.1857
676,0.2034
677,0.2121
678,0.2051
679,0.2121
680,0.2121
681,0.2069
682,0.2069
683,0.2069
684,0.2104
685,0.2051
686,0.2069
687,0.2034
688,0.2051
689,0.2121
690,0.1981
691,0.2051
692,0.2051
693,0.2051
694,0.2069
695,0.2051
696,0.2051
697,0.2104
698,0.2034
699,0.2034
700,0.1998
701,0.2121
702,0.2121
703,0.2034
704,0.2051
705,0.2051
706,0.2104
707,0.2069
708,0.2051
709,0.1857
710,0.2051
711,0.2051
712,0.2034
713,0.2051
714,0.2069
715,0.2121
716,0.2104
717,0.2069
718,0.2121
719,0.2069
720,0.2051
721,0.2121
722,0.2069
723,0.2121
724,0.2051
725,0.2034
726,0.2051
727,0.2104
728,0.2104
729,0.2104
730,0.2051
731,0.2121
732,0.2034
733,0.2051
734,0.2051
735,0.2051
736,0.2051
737,0.2069
738,0.2034
739,0.2051
740,0.2121
741,0.2121
742,0.2069
743,0.2051
744,0.2069
745,0.2051
746,0.2034
