GCaL,GKs,GKr,GNaL,GNa,Gto,GK1,GNCX,GNaK,Gkb
1.1168371568646327,0.16353748144821012,1.5429831609300346,1.5573612555995657,1.1858986740328585,0.8773233680104978,1.282610858166977,0.7356939153265839,1.6748468753105665,1.8780572415386994
1.1168371568646327,0.3901546377562758,1.5429831609300346,1.5573612555995657,1.0710705185156184,0.2117706591016322,1.282610858166977,0.6054641096002116,1.7769873234889073,1.8583082376327924
1.0768525230290256,0.3901546377562758,1.5429831609300346,1.5573612555995657,0.8341384616795998,0.2117706591016322,1.282610858166977,0.633570745167211,1.7144851501062965,1.8577911945492542
1.005821368572208,0.3901546377562758,1.5429831609300346,1.5573612555995657,1.0710705185156184,0.2117706591016322,1.282610858166977,0.6054641096002116,1.7769873234889073,1.8583082376327924
1.1902265732599147,1.281651060734396,1.510075275166372,1.5151016372505655,1.1907821374232381,0.2254485387566525,1.8587002935848402,0.6054641096002116,1.5178403430518506,1.8216328495277363
1.1382266432705435,0.9573646052701836,1.5904585688715733,1.6367547368262578,0.8375612283655417,0.29570200070440605,1.4049187320304792,0.5757680150549029,1.5949505422670835,1.8360397092341454
0.9822978555298332,0.20328643776450825,1.6112630857949228,1.5430538815171522,1.780114711343691,0.2436616961753394,1.35000482714395,0.5452759177383588,1.4718205764289913,1.626588529315708
1.0541471071186157,0.3220896380469835,1.4775765708412905,1.723548278844252,0.8341384616795998,0.8291073834748313,1.32842326661985,0.5741486598380943,1.7144851501062965,1.8613301168343683
1.001913104901931,0.8494894021770174,1.451732537110821,1.5573612555995657,1.8853774732420492,0.6805734132557213,1.367080105902651,0.5802012570428431,1.1206120871725815,1.9843198487398643
1.0768525230290256,1.253796473879438,1.5428920132866044,1.783610596943072,1.113286455400418,0.21680378835014083,1.5613820273223762,0.6307419053994004,1.6222487433308486,1.8613301168343683
1.1902265732599147,0.6991575740271041,1.6112630857949228,1.601236913156957,1.9476487087834775,0.20218797276027178,1.35000482714395,0.6336479387377111,1.6059319573514077,1.8332308170037155
1.0768525230290256,0.385203432271388,1.4864604093239921,1.5430538815171522,0.8575530774632444,0.23019415063730675,1.5194361819863917,0.5870585392830925,1.5361235233383774,1.8613301168343683
1.121577141629256,1.305661403514058,1.442162836384953,1.6009843097385297,0.9519203670080261,0.2117706591016322,1.4073821183241055,0.6107395512374519,1.8517148298298753,1.993222313875947
1.0632345318769776,1.281651060734396,1.471942728763534,1.601236913156957,0.9887456325382589,0.26262218971332985,1.6453407080976772,0.5477079512592646,1.9654935813972314,1.9486546640963358
1.001913104901931,0.8494894021770174,1.451732537110821,1.5573612555995657,1.6945955922104927,0.6805734132557213,1.367080105902651,0.5802012570428431,1.1206120871725815,1.9843198487398643
