gen1,gen2,gen3,gen4
"[0.10863526049940805, 0.2232496053323312, 0.9500709575019939, 0.128267754064797, 0.4701539598985564, 0.1511191880325123, 1.9086862269751341, 0.15718236620258264, 0.7025021540349222, 0.4824286145319]","[0.888376731277941, 0.38190446011675544, 1.6599492841047643, 0.11844133344487377, 0.6326814467926737, 0.72944293905219, 0.20246086404082703, 0.17240759770297315, 0.8476086852699575, 0.2696138281318453]","[0.5427191816422673, 0.11080890257298609, 0.9747838171523105, 1.147424720347925, 1.1274507920817194, 1.0926139547882854, 1.5420412732389095, 0.27990124427860863, 0.9504821878416965, 0.844896387484467]","[0.7886550829526351, 0.7379270571783715, 0.9813421303656414, 0.22248299048644818, 1.7602625818194564, 0.3996577767311039, 1.8750784942965988, 0.4814591950795021, 0.8978508690141181, 0.24207499026972368]"
"[0.27870863693738485, 0.13843839785415724, 1.9042816947670413, 0.6267585984533293, 0.22593372082556912, 1.1587244059801551, 0.42597154549449107, 0.7651178226710713, 0.5000122115651687, 0.31977946811191016]","[0.35159961613408164, 0.4072574779122565, 1.5453180560082111, 0.22530890389271, 0.25295765233809725, 1.0069904606519369, 1.944104288373707, 0.9929774644292299, 0.8814897598415997, 0.34707266449547025]","[0.5900290815850229, 0.43738778752886515, 0.5823400274996511, 0.5863387587689725, 0.6887508756315992, 0.13502453609014536, 0.3724695806256637, 0.937592091281424, 0.4271550659370304, 0.41214279500217027]","[0.888376731277941, 0.17359650140395877, 0.7002303618637746, 0.3218292786319748, 0.8123572566122537, 0.46579382053474844, 0.3098353403833273, 0.2688708344332389, 1.0225946075745034, 0.12036906409140137]"
"[0.20464384423756476, 0.10500147782169325, 0.47306374731675666, 0.7442687430021399, 0.3332741643773528, 0.9316979255233874, 0.9949593009950326, 0.22550536025045356, 0.8744017093458628, 0.14900242279204307]","[0.4096587656095319, 0.9698307166205411, 0.648710181713121, 0.7262975167492539, 0.6234964004585923, 0.26476025918475116, 0.32351787259295234, 0.9905170928592132, 0.15890176980271165, 0.7544141733133698]","[0.888376731277941, 0.44266164936080643, 0.9813421303656414, 0.25483875704580644, 0.29832042097069833, 0.21008360726213313, 1.0140842086435091, 0.13033224842197166, 0.21464838133784997, 0.1765584110006914]","[0.5447629410851195, 0.44266164936080643, 0.6903751291360379, 0.1679067734410966, 0.6326814467926737, 0.14855885840500146, 0.3361935979837542, 1.1503858615242584, 0.6089592504357181, 1.2540187084052268]"
"[1.5638965383028114, 1.307821391217227, 1.3272310201551787, 1.3764405402177615, 0.3956762905459378, 0.38301453838685595, 1.4064115036270772, 1.8712183149404527, 0.36120221135507835, 0.6967823681955442]","[0.9831149057227107, 0.6018519971697956, 1.3275166657869868, 0.4613649471337675, 1.597937843431379, 0.12818455586438798, 0.10117155059232225, 0.538746429577739, 0.1801790897005666, 1.1853152940922627]","[0.888376731277941, 0.3881153478906665, 0.6244305485719825, 0.17073182126933484, 0.7393583984828472, 0.18497579414608153, 1.807398555940542, 0.39980458570113725, 0.42429829443546, 0.41214279500217027]","[0.42885431806363533, 1.234688608631541, 1.36262889535224, 0.7777249493693227, 0.5577089581291996, 0.2363397574451854, 1.1731863636024162, 0.22821868065622303, 0.7391793945266777, 0.18984683189908816]"
"[0.8392839619146203, 1.468205331027762, 0.20460080227829908, 0.1430809258490728, 0.14646168276504187, 0.5171763680278914, 1.6823694747808233, 1.056511797555204, 0.9096018639247597, 1.1064288893959398]","[1.2487142730212537, 0.13373891959094028, 0.46263940998645176, 0.13585109296703252, 0.7473006791208794, 0.2041305374787621, 0.9885863036225355, 0.12015419616821199, 0.3884807086506162, 0.36040907186329585]","[0.9831149057227107, 0.6018519971697956, 1.0760346641792409, 0.4613649471337675, 1.597937843431379, 0.12818455586438798, 0.10117155059232225, 0.6312646615978612, 0.1801790897005666, 1.1853152940922627]","[0.6567142793318287, 0.3197630587291002, 0.3279363778087766, 0.14986212223082448, 1.297123280274255, 0.2472564683066332, 0.4434938110639394, 0.25499757319474575, 0.7195287824270737, 1.1115179045829777]"
"[0.3129118502314553, 0.9634131260956216, 1.3477082796963324, 0.21631852773370877, 0.597278851896777, 0.72944293905219, 0.17114590926941636, 1.3784173237598563, 0.4467448272310547, 0.17681089158184904]","[0.6726951379755552, 0.486473621661581, 0.4320299502910314, 0.6672271181805667, 0.7613559590307388, 1.5530499286406414, 0.9938001673681505, 0.9544931100632383, 0.36956024501392476, 0.7906409005411348]","[0.546950753658446, 0.36750590699540264, 0.9813421303656414, 0.2895417452510692, 0.25330113175478974, 0.13909223264816062, 0.9949593009950326, 0.4339344922681981, 0.18889230246214556, 0.1765584110006914]","[0.5900290815850229, 0.3866882959779744, 1.098775267130357, 0.7262975167492539, 0.25330113175478974, 0.8922886991165748, 1.0296122166238848, 0.5204104716871479, 0.9396139925624462, 0.15811785037592002]"
"[0.6196093643667769, 0.2318301456746463, 0.22050289431577882, 0.11844133344487377, 0.15211570363065258, 0.1355957076128421, 0.5507800957694351, 0.17240759770297315, 0.5733069269719137, 0.2696138281318453]","[1.2053201861135021, 0.11105908835804898, 1.1008451085266562, 0.23583429684174878, 0.12088625712810427, 0.16241854940194553, 0.6136751431237277, 1.0194057536713266, 0.1328127093983225, 1.1361009192623808]","[0.20115426100965603, 0.10500147782169325, 0.513134445892361, 0.7442687430021399, 1.3090201262586618, 0.8633507453369045, 1.0258512850206074, 0.22550536025045356, 0.8744017093458628, 0.14900242279204307]","[1.7254504269699533, 0.44973359482616054, 1.5940390416247951, 1.265954468347879, 0.33706601569808, 0.641642715768131, 1.3093891529548298, 0.2549556199683319, 0.2043940517206365, 0.13943844585402368]"
"[0.890009802295894, 0.44266164936080643, 0.6244305485719825, 0.6418359535644489, 0.6326814467926737, 0.14855885840500146, 0.33107989308826236, 1.1503858615242584, 0.6089592504357181, 1.1534510401838134]","[0.6188068196825782, 0.1020348050268645, 0.47306374731675666, 0.7442687430021399, 0.3332741643773528, 0.9316979255233874, 0.42307853523700945, 0.22550536025045356, 0.8001721900888692, 0.1573985896938087]","[0.888376731277941, 0.3881153478906665, 1.1511991635631584, 0.11108720964943233, 0.6972620459172842, 0.17954232830198258, 0.1625723537033197, 0.39980458570113725, 0.42429829443546, 0.41214279500217027]","[1.6135860289770882, 0.3060081264532333, 0.18895623384878527, 0.2610978941565311, 0.2896658615342809, 0.5332595423761206, 1.7988602152440292, 0.127049893630923, 0.4466055186947076, 0.1848940441786138]"
"[0.1242861964154422, 0.20156983288389915, 0.11868561850256325, 0.5486495835526981, 0.17956531860802297, 0.32115148860050674, 0.8425160257897132, 1.072438314239472, 0.4271550659370304, 0.41214279500217027]","[0.20464384423756476, 0.6995663570653236, 0.6396650646389054, 0.21339726089906508, 0.3036573910285935, 1.5090101102924376, 0.9949593009950326, 0.7940427568445538, 1.8010234873702295, 0.12251741048124891]","[1.4225610880302337, 0.11080890257298609, 0.6244305485719825, 0.17073182126933484, 0.6467401367607548, 0.6356486446012629, 1.807398555940542, 0.33228366619321364, 0.8882241480592252, 0.1927139035125561]","[0.42885431806363533, 1.234688608631541, 1.2174874082791818, 0.7777249493693227, 0.5577089581291996, 0.2363397574451854, 0.4434938110639394, 0.22821868065622303, 0.7391793945266777, 0.14584027167097802]"
"[0.2160568814329501, 0.6931394036993894, 0.47815841714124485, 1.2037105009287747, 0.22274049580125793, 0.46826436171001967, 0.6609337965392028, 0.2365955584454154, 1.0097084960380003, 0.659987658565038]","[0.5900290815850229, 0.36750590699540264, 1.098775267130357, 0.2546750737282078, 0.25330113175478974, 0.9459638978407581, 1.0296122166238848, 0.4814591950795021, 0.2043940517206365, 0.15811785037592002]","[0.6567142793318287, 1.1069934607118674, 1.7460122151602828, 0.6303389185484246, 1.498862807900394, 0.9859412784553934, 1.3683005422839223, 1.2888504460883088, 0.7195287824270737, 0.600104296123709]","[1.083428553834246, 0.49025935452252206, 1.3477082796963324, 0.5596726933157142, 1.498862807900394, 0.21008360726213313, 0.3724695806256637, 0.937592091281424, 0.41897841198810304, 0.41214279500217027]"
"[0.1032545739254087, 0.8562761343721212, 0.26776174027418387, 0.4256080163471707, 0.5099300567933797, 0.17954232830198258, 1.526361564858811, 0.3487175805840531, 0.2141958053657656, 0.6828938194335568]","[0.4542981434872645, 0.5844487567763242, 0.49909749238675394, 1.9199235817859295, 1.41605493501953, 0.13502453609014536, 0.8737536279168867, 0.17120477207954474, 0.7544489091900841, 0.14743754632311082]","[0.9374272903847153, 0.4173250144986938, 0.3279363778087766, 0.1679067734410966, 0.5718906987322065, 0.5432084607858328, 1.1731863636024162, 0.26699127081147206, 0.8336766518688343, 1.0336595335057135]","[0.6567142793318287, 1.1069934607118674, 1.7460122151602828, 0.6303389185484246, 0.5528541433914993, 0.8989886115824001, 1.3683005422839223, 1.386614267695328, 0.7195287824270737, 0.600104296123709]"
"[0.3358391165245884, 1.1477688290023638, 0.7920420391990549, 0.15089214306565893, 0.6133110867453735, 0.18280540486798494, 0.2610611054878892, 1.1812582231671651, 0.19066764680268802, 0.32694198692128074]","[0.7973486171549641, 0.7630409832530616, 1.0622429926914676, 0.22248299048644818, 1.6648973526607145, 0.14855885840500146, 1.8917800419847906, 1.1503858615242584, 0.9121967964037514, 0.2903123564950182]","[0.5900290815850229, 0.43738778752886515, 1.1235463813158018, 0.27790553093229553, 0.2833659513111154, 0.13502453609014536, 1.040296746391781, 0.1434831385351254, 0.21464838133784997, 0.1765584110006914]","[0.6567142793318287, 0.44266164936080643, 1.3275166657869868, 0.1680620369007003, 0.6326814467926737, 0.12589678638669521, 0.5098917788979961, 1.1503858615242584, 0.6330058578675811, 1.2540187084052268]"
"[0.13301021451513628, 0.38936987500461323, 0.8302082282873964, 0.7658516692689641, 0.44086992057353075, 0.8066870699123112, 0.8197434356463097, 0.1995613181371491, 0.15083439021835104, 0.49987424420211235]","[0.888376731277941, 0.44266164936080643, 0.6244305485719825, 0.6418359535644489, 0.6326814467926737, 0.21008360726213313, 0.3724695806256637, 0.937592091281424, 0.4271550659370304, 0.41214279500217027]","[1.3611812177828255, 1.507950165836455, 1.9354402950219158, 1.4477345040972351, 1.1617418479312722, 0.6883014191741907, 0.15080251642910997, 0.9119807942798208, 1.558733540202405, 0.17371306499854153]","[0.6567142793318287, 1.1390067231958705, 1.7460122151602828, 0.6303389185484246, 1.498862807900394, 1.0131177815282186, 1.3683005422839223, 1.2888504460883088, 0.511344544969314, 0.600104296123709]"
"[0.27696917884475286, 0.1597247044322947, 1.607926464931253, 0.29160638318742116, 0.9326765707330454, 0.596385415460027, 1.1151647851806858, 0.5084550580029789, 1.078315124404044, 0.36261312874632196]","[1.498501570647489, 0.6994522623807481, 0.7019755731967019, 0.1679067734410966, 1.149223385340381, 0.11141747070395434, 0.10736076807323915, 0.49010340393678775, 1.1728690169712905, 1.2809048149876634]","[1.2053201861135021, 0.25134575104625173, 1.4059027727594986, 1.0613744152629747, 0.787859188036216, 1.8583349626066785, 1.6262008804048875, 0.17445063206898867, 0.32749222714385046, 1.2695673555444047]","[0.26672711077433003, 0.9954016481425069, 1.3862186986598568, 1.9259858696161463, 0.42866459022208825, 0.6924997972922283, 0.3973189496582837, 0.5901021907073959, 0.18949440855740843, 1.365241330324963]"
"[0.4331907923669044, 0.39390568071340737, 1.7752234318581164, 0.1415958671715156, 0.620480733047691, 0.36373393007768123, 0.26018829563235335, 0.17913300844329738, 1.0471808903798376, 0.12385696743366871]","[0.6567142793318287, 0.3197630587291002, 0.3279363778087766, 0.1544378442007324, 1.498862807900394, 0.5932403119564676, 1.1731863636024162, 0.26699127081147206, 0.7195287824270737, 1.0336595335057135]","[0.62780381821331, 1.0240335357673502, 0.6582796806368874, 1.3043955644822596, 1.7602625818194564, 0.4165411430636366, 1.1286529053759993, 0.9412419797983448, 0.47186162539488347, 1.301480323977207]","[0.2700900571170289, 0.9634131260956216, 1.3096740443618322, 1.012963031861139, 0.29670914399106885, 0.5652827539148211, 1.21541228837817, 0.18969396651213216, 0.33950186715475295, 0.509179740344652]"
