gen1,gen2,gen3,gen4
"[0.2700900571170289, 1.6714982188696001, 0.11075733367525781, 0.9478279379635515, 0.13283023966643331, 0.2251451507065861, 0.3973189496582837, 1.9464151956059126, 0.36675043470656304, 0.4250388540793504]","[0.10741585089799713, 0.7890452685392441, 0.22633749421902027, 0.37448440210562034, 0.5099300567933797, 0.14855885840500146, 0.38897607404103224, 0.33288383258344795, 0.2141958053657656, 0.6828938194335568]","[0.44090052852071177, 0.10444623331649798, 0.6134867679177965, 0.22248299048644818, 1.6648973526607145, 1.7583756518507232, 1.2506349327671824, 0.8030160142049367, 0.254645199054228, 1.7066439054161575]","[1.4225610880302337, 0.6994522623807481, 0.3279363778087766, 0.1679067734410966, 0.6467401367607548, 0.5432084607858328, 0.8527203918917781, 0.26699127081147206, 0.7195287824270737, 0.9314839754150298]"
"[0.5035838358181514, 1.1438484806977973, 1.0088689115433243, 1.012963031861139, 0.29670914399106885, 0.5652827539148211, 0.47627395649655035, 1.8341269805009788, 0.33950186715475295, 0.46947266002160626]","[0.888376731277941, 0.3881153478906665, 0.6244305485719825, 0.17073182126933484, 0.6972620459172842, 0.17954232830198258, 1.807398555940542, 0.39980458570113725, 0.42429829443546, 0.41214279500217027]","[0.7886550829526351, 0.7630409832530616, 1.0622429926914676, 0.5523140139723038, 0.41196446541840825, 0.21008360726213313, 1.8917800419847906, 0.937592091281424, 0.8046503937962234, 0.2675917989288494]","[0.4132916022573867, 1.1069934607118674, 0.7687059728949385, 1.564798850879551, 1.7979311864622451, 1.7058446982649527, 0.10303336336981922, 0.39980458570113725, 1.7834769249749558, 0.593985522544367]"
"[0.2923528343295292, 0.573056261462505, 1.4293283171252475, 0.6623740384549694, 0.5769691424212725, 0.2439621441937476, 1.2515922260048613, 0.3601935844645431, 0.6400371398614927, 0.11430820736742647]","[0.44090052852071177, 0.10444623331649798, 0.6134867679177965, 0.5523140139723038, 0.41196446541840825, 1.7583756518507232, 1.2506349327671824, 0.8030160142049367, 0.254645199054228, 1.7066439054161575]","[0.9086047300720637, 0.33367646698157416, 0.6244305485719825, 0.2712589339593268, 0.6972620459172842, 0.17954232830198258, 1.807398555940542, 0.441948396543979, 0.42429829443546, 0.29203958473828373]","[0.8982925407568491, 0.10376114496696807, 1.7752234318581164, 0.5382574862655722, 1.1790449489302526, 1.6581624195843425, 1.3256282478070338, 0.8030160142049367, 0.28806844774288654, 0.35067878064126917]"
"[0.7843511729533256, 0.1951122159824536, 1.6554774231542722, 0.7333518446692491, 0.12577166749861982, 0.11185411283178691, 0.5019378450454708, 0.4624096981602048, 0.6807560992379028, 0.22910267645892413]","[0.9958934011599796, 0.2541803437321552, 0.5365408227270948, 0.5994497388634107, 1.2960537091054363, 0.2729987407654692, 0.4481594823833403, 0.4909307817686788, 0.12886018145574846, 1.7624865047064073]","[0.5764925545558907, 0.35001192575792434, 0.4117173003196137, 0.17073182126933484, 1.2705870208980563, 0.46579382053474844, 0.10301854437747197, 0.1398687153605154, 0.12813328489841508, 0.41214279500217027]","[0.3601435977649825, 1.244274750374873, 0.7388111635831474, 1.2844853865665127, 1.2595676369781117, 0.16709724503225493, 0.15859533220418273, 0.21554814382941279, 1.558733540202405, 0.12385696743366871]"
"[0.9434749976452029, 0.41085260565984455, 1.9966479556838765, 0.16167075406679038, 0.8725261912222175, 1.7883138312770894, 0.23673914115811157, 0.136366160287801, 1.2091678342889582, 0.2354487080988831]","[1.8025149997039702, 0.9954016481425069, 0.4315730226930979, 0.1505275305335595, 1.1671879317662663, 0.6924997972922283, 0.24176344716690332, 0.611499011602672, 0.22302174449207904, 0.2858481031306525]","[0.8822838547220144, 0.5916822481433965, 0.3279363778087766, 0.16990127590183107, 1.8470756002351605, 0.43989126977115417, 1.1731863636024162, 0.17195691245274486, 0.6580696003623391, 1.0336595335057135]","[1.7796174017601956, 0.2640396821759702, 1.4153664298114963, 0.21631852773370877, 0.8881023533482235, 1.8583349626066785, 1.7221169731139911, 0.16159056740096034, 0.27614134452471517, 0.30712594560332035]"
"[0.35159961613408164, 0.9698307166205411, 0.6306368421675873, 0.22530890389271, 0.6234964004585923, 0.26476025918475116, 0.3709751163922374, 0.9929774644292299, 0.8814897598415997, 0.36956647096372647]","[0.2950456989564376, 0.9385750123042784, 1.3862186986598568, 0.14595115336728617, 1.0958714123543174, 0.4255012842344385, 1.5084910923339276, 0.6111161714711884, 0.10834692179648678, 1.365241330324963]","[0.6567142793318287, 0.3197630587291002, 0.44546343127734406, 0.14077812538058126, 0.31234464081366725, 0.8066870699123112, 0.30135382548175865, 0.26699127081147206, 0.7598610218580739, 0.7675074813296183]","[1.0721339481157062, 0.6944689028210539, 0.4315730226930979, 0.22248299048644818, 1.1989352958042623, 1.0216231258832682, 1.3683005422839223, 0.9082980226806752, 0.9121967964037514, 0.5258314740699916]"
"[1.7374285786654582, 0.8870268952778578, 0.4315730226930979, 0.14595115336728617, 1.1671879317662663, 0.4255012842344385, 0.24176344716690332, 0.6111161714711884, 0.10834692179648678, 0.2858481031306525]","[0.5206079464105575, 0.5072227005915925, 1.5327373043409491, 1.9259858696161463, 0.39679580732958025, 0.1760660306233743, 1.283739792207447, 0.9704893576082354, 0.1385390108677909, 0.5524659485672114]","[0.2853507445042991, 0.4072574779122565, 1.701631595557609, 0.2546750737282078, 0.20046729339590003, 1.0069904606519369, 1.944104288373707, 0.4814591950795021, 0.8814897598415997, 0.34707266449547025]","[0.4096587656095319, 0.25134575104625173, 1.4059027727594986, 0.2579253855198753, 0.9623559664800738, 1.7292111428639259, 1.704250661069634, 0.17445063206898867, 0.31156454105875314, 1.31371154619918]"
"[0.9374272903847153, 0.4173250144986938, 1.7460122151602828, 0.6303389185484246, 0.7090888186296856, 0.9859412784553934, 1.3683005422839223, 1.3985693311117815, 0.8253948448444738, 0.600104296123709]","[0.1330344107570594, 1.5149450196336667, 1.9354402950219158, 1.4477345040972351, 1.1617418479312722, 0.7429973994501429, 0.15080251642910997, 0.9119807942798208, 1.558733540202405, 0.17396623835851371]","[0.5900290815850229, 0.8440665368972584, 0.966230583365358, 0.22530890389271, 0.25330113175478974, 0.13944923022291686, 1.0296122166238848, 0.9929774644292299, 0.21464838133784997, 0.1765584110006914]","[1.2053201861135021, 0.9698307166205411, 0.7339732923382583, 1.0613744152629747, 0.6234964004585923, 0.26476025918475116, 0.32351787259295234, 0.9905170928592132, 0.1664860219273286, 0.7544141733133698]"
"[0.5934464116000238, 0.3071587262723702, 0.42541848164739704, 1.035911436374519, 1.8930109298063085, 0.6034386841047269, 0.18755958702436137, 0.604177744440686, 0.10070887705178867, 0.10559771795368635]","[0.24436715335147424, 0.4406725231088975, 1.3275166657869868, 0.10258282936359507, 0.3521043206720035, 0.12818455586438798, 0.5098917788979961, 0.12324492927153767, 0.8957246364568269, 0.7470029109576558]","[0.9831149057227107, 0.6018519971697956, 1.3275166657869868, 0.4613649471337675, 1.694884454214014, 0.12520232066652354, 0.10117155059232225, 0.538746429577739, 0.1801790897005666, 1.5047868787599235]","[1.2053201861135021, 0.10722330635869332, 1.134924658542311, 1.0613744152629747, 0.3986496365408647, 1.5981632388888096, 1.4763334766838647, 0.17445063206898867, 0.25846281824634315, 1.2565033185922312]"
"[0.24436715335147424, 0.13698919078431332, 1.2746566929729357, 0.10258282936359507, 0.3521043206720035, 0.12818455586438798, 0.5170527052842717, 0.12324492927153767, 0.4870741221770331, 0.7470029109576558]","[1.037013791346741, 0.150052217038553, 0.8243039022516719, 0.2625078515876443, 0.6063856567580753, 0.2934589731319048, 0.16145635720687454, 0.12366332807394186, 0.6289670368980272, 0.1431034776689776]","[0.7973486171549641, 0.6944689028210539, 0.4315730226930979, 0.22248299048644818, 1.1989352958042623, 1.2016296722226998, 1.3769666285691156, 0.937592091281424, 0.9121967964037514, 0.3611967572357284]","[0.5900290815850229, 0.43738778752886515, 1.1235463813158018, 0.27790553093229553, 0.2833659513111154, 0.13502453609014536, 1.040296746391781, 0.1434831385351254, 0.21464838133784997, 0.1765584110006914]"
"[0.181264327628084, 1.9323460070212644, 0.35703278552329454, 0.6412331397326306, 1.9036571742538566, 0.16813110058987862, 0.580611208853963, 0.5404074797816483, 0.12383408784270904, 0.152832261699244]","[0.888376731277941, 0.4066869252903743, 1.5327373043409491, 0.17073182126933484, 0.6972620459172842, 0.14855885840500146, 0.3543880700367978, 0.39980458570113725, 0.42429829443546, 0.5524659485672114]","[0.3859979822391728, 1.3965777809646993, 0.403852768216808, 0.6158597223934799, 0.21443858187344025, 0.4236352049032964, 0.29111759608326515, 1.3784173237598563, 0.5690412326421889, 1.7595465564624329]","[0.7897155324051703, 0.7726818802546239, 1.074067564208881, 0.1576417137042472, 1.027082180104263, 0.31338670246844863, 1.3065383199824763, 0.23441090206982476, 1.0270819247920546, 0.8988091560993683]"
"[0.4096587656095319, 0.4072574779122565, 1.5453180560082111, 0.7262975167492539, 0.25295765233809725, 1.0069904606519369, 1.9917341068567846, 0.9881022648975417, 0.15890176980271165, 0.7544141733133698]","[0.1330344107570594, 0.5463108882330527, 0.6244305485719825, 1.5951286628819936, 0.3621688917057305, 0.17232442418452837, 1.4453200488258091, 0.9704893576082354, 0.1385390108677909, 0.41214279500217027]","[1.0721339481157062, 0.5273058062175766, 0.9679158987574625, 0.5382574862655722, 0.3332741643773528, 1.659416538574077, 0.21103939207527125, 0.17195691245274486, 1.815342894233123, 0.5818047316341991]","[0.8042575868229774, 0.7387485405756749, 1.074067564208881, 0.1576417137042472, 1.027082180104263, 0.31338670246844863, 1.3065383199824763, 0.23441090206982476, 1.0913929953129464, 0.8988091560993683]"
"[1.2487142730212537, 0.6018519971697956, 1.3275166657869868, 0.4613649471337675, 1.597937843431379, 0.12818455586438798, 0.10117155059232225, 0.538746429577739, 0.3884807086506162, 1.1853152940922627]","[0.4610017960777594, 1.234688608631541, 1.36262889535224, 0.7777249493693227, 0.5577089581291996, 0.2363397574451854, 0.4434938110639394, 0.22821868065622303, 0.7391793945266777, 0.18984683189908816]","[0.6567142793318287, 1.4773672678491665, 0.43715921612721514, 0.6672271181805667, 0.9566417588365833, 0.22691701208681125, 1.1731863636024162, 1.8424648863351158, 0.36956024501392476, 0.7906409005411348]","[0.6998317253249763, 0.3364976569910317, 0.9813421303656414, 0.20608482363307926, 1.6530957236563675, 0.13502453609014536, 1.0296122166238848, 0.4716323721922027, 0.21464838133784997, 0.7122156130441945]"
"[0.24436715335147424, 0.15645713954560045, 0.1373549667103184, 0.10258282936359507, 0.3521043206720035, 0.5562573796440743, 0.5098917788979961, 0.12324492927153767, 0.7250971888394501, 0.8055361707482939]","[1.7647084472050278, 0.7236610844266905, 0.3697087274761646, 0.1196457360075988, 1.6211363565236137, 0.17864097043263732, 1.0398814662998326, 0.19639318985808027, 0.7540213050624079, 0.20896996403765386]","[0.5206079464105575, 0.3197630587291002, 1.1511991635631584, 0.10316805123710167, 0.6467401367607548, 0.7429973994501429, 0.39627109710733627, 0.5963786270294684, 0.1750073336597285, 0.1927139035125561]","[1.7306520830468142, 0.25134575104625173, 1.4153664298114963, 1.0584846875132732, 1.2834194273485704, 1.8583349626066785, 0.9949593009950326, 0.17445063206898867, 0.2778932906490915, 0.6558333920864747]"
"[0.4542981434872645, 0.506537174357994, 0.5276791102753764, 1.9199235817859295, 1.41605493501953, 0.9459638978407581, 0.8148672698312849, 0.17120477207954474, 0.7544489091900841, 0.14743754632311082]","[1.037013791346741, 0.221401002799737, 0.5365408227270948, 0.5994497388634107, 0.25844326283653907, 0.3061384442690534, 0.4481594823833403, 0.4909307817686788, 0.12886018145574846, 1.7066439054161575]","[0.3601435977649825, 0.2180812240208949, 0.4788022568996312, 0.1544378442007324, 0.21550128406825794, 1.6829040238510748, 0.25918261347934496, 0.17195691245274486, 0.553540873091707, 0.5274011572690197]","[0.7973486171549641, 0.7770986096888836, 0.9960890676437804, 0.22248299048644818, 1.6648973526607145, 0.3925375624359778, 1.9648170468173016, 0.937592091281424, 1.1778751710474158, 0.2997651163738042]"
"[1.8017469821373469, 0.25134575104625173, 1.4059027727594986, 1.1744816490186036, 0.9635932136310976, 1.8583349626066785, 1.7221169731139911, 0.17445063206898867, 0.31156454105875314, 0.5258314740699916]","[0.5900290815850229, 0.36750590699540264, 0.9813421303656414, 0.25483875704580644, 1.2960537091054363, 0.13502453609014536, 1.0296122166238848, 0.1434831385351254, 0.21464838133784997, 0.1765584110006914]","[1.498501570647489, 0.4172506148310087, 0.848218741771008, 0.13170922422018785, 1.0998784339511303, 0.11141747070395434, 0.3387264367095878, 0.5021812692413472, 1.0640017851339405, 1.2625148007490141]","[0.87807976486788, 0.7630409832530616, 0.6932393354391573, 0.2542201815186823, 0.289443644490053, 0.11141747070395434, 0.12998573597889898, 1.1503858615242584, 1.1728690169712905, 0.3111959678920746]"
"[0.1330344107570594, 0.5072227005915925, 1.5327373043409491, 1.8936709461136638, 0.39679580732958025, 0.1829562007610267, 0.17114590926941636, 0.9704893576082354, 0.140617022746661, 0.5617262133537563]","[1.498501570647489, 0.4172506148310087, 0.848218741771008, 0.1544378442007324, 1.149223385340381, 0.11141747070395434, 0.3387264367095878, 0.5021812692413472, 1.1728690169712905, 1.303851743480038]","[1.328579777890178, 0.11080890257298609, 1.1511991635631584, 0.24919546016956753, 0.5229980099292554, 0.6883014191741907, 1.9086862269751341, 1.8424648863351158, 1.3601596275239423, 0.1927139035125561]","[0.8352866965579531, 1.126446639155391, 1.4293283171252475, 0.7333518446692491, 1.2022424767297035, 0.7444192216971263, 0.5019378450454708, 0.5049773244946576, 0.8882241480592252, 0.3408389310734572]"
"[0.31122717113566734, 0.9634131260956216, 1.3441899288773003, 0.21631852773370877, 0.597278851896777, 0.1355957076128421, 1.4453200488258091, 1.3784173237598563, 0.4467448272310547, 0.17681089158184904]","[0.4132916022573867, 0.6994522623807481, 0.7687059728949385, 1.564798850879551, 1.9122226504132667, 0.10916168559384157, 0.10303336336981922, 0.39980458570113725, 1.7834769249749558, 0.593985522544367]","[1.4225610880302337, 1.3938314314606495, 1.9067669202979203, 0.11108720964943233, 0.6467401367607548, 0.6356486446012629, 0.1625723537033197, 0.33228366619321364, 0.8882241480592252, 0.1927139035125561]","[0.20037255484734692, 0.12548822793246867, 0.9685222864181386, 0.955339405001111, 0.17174002854799386, 1.0721010470456336, 0.9949593009950326, 0.22028650926439208, 1.558733540202405, 0.9246390961693517]"
"[0.18364652986585175, 0.4072574779122565, 1.5453180560082111, 0.6144588076317251, 0.263125182995639, 0.16813110058987862, 1.9917341068567846, 0.5404074797816483, 0.15890176980271165, 0.152832261699244]","[0.7886550829526351, 0.7630409832530616, 1.0622429926914676, 0.22248299048644818, 1.6648973526607145, 0.21008360726213313, 1.8917800419847906, 0.937592091281424, 0.8978508690141181, 0.2903123564950182]","[1.4225610880302337, 0.11080890257298609, 1.1511991635631584, 0.7342519002114032, 0.6016601217071401, 0.7335853031771771, 0.1625723537033197, 0.22821868065622303, 0.8882241480592252, 0.1927139035125561]","[0.725691604778719, 0.776419242516583, 1.3272310201551787, 1.315289088135174, 1.6530957236563675, 0.24389727046317208, 1.0296122166238848, 0.7940427568445538, 0.9422080171637724, 0.36990453727895634]"
"[1.7647084472050278, 0.7236610844266905, 0.3697087274761646, 0.7777249493693227, 1.8228019862750304, 0.17864097043263732, 1.0398814662998326, 0.21439482476549987, 0.7540213050624079, 0.18984683189908816]","[0.890009802295894, 0.44266164936080643, 0.6244305485719825, 0.6418359535644489, 0.6326814467926737, 0.14855885840500146, 0.33107989308826236, 1.1503858615242584, 0.6089592504357181, 1.1534510401838134]","[0.4610017960777594, 1.234688608631541, 1.36262889535224, 0.10418857412164728, 0.5511359210498281, 0.2363397574451854, 0.4434938110639394, 0.33228366619321364, 0.7391793945266777, 0.18984683189908816]","[0.5900290815850229, 0.36750590699540264, 0.9813421303656414, 0.2546750737282078, 0.5756960454387746, 0.13502453609014536, 1.4064115036270772, 0.4695206244205538, 0.21733451624658945, 0.7122156130441945]"
"[0.35415031140615, 0.5795521368096501, 1.1511991635631584, 0.11108720964943233, 0.21643032654390687, 0.24467936373201715, 0.19573440391388502, 0.6374674894077892, 0.1750073336597285, 1.404455203234924]","[0.3358391165245884, 1.244274750374873, 0.7920420391990549, 0.25483875704580644, 0.6133110867453735, 0.16709724503225493, 0.2610611054878892, 1.1812582231671651, 0.19066764680268802, 0.32694198692128074]","[0.62780381821331, 0.10444623331649798, 1.8706195779017796, 0.1387534652547636, 0.4344051777549078, 0.2041305374787621, 1.3191984255656595, 0.8030160142049367, 0.254645199054228, 0.12385696743366871]","[0.21135921092666038, 0.15645713954560045, 1.1257961722619771, 0.10258282936359507, 0.3521043206720035, 0.21008360726213313, 0.5009317478679205, 0.11911333575067802, 0.4140386910926463, 0.29705407344642304]"
"[0.23226425695982414, 1.6902849927352548, 1.7310442125805616, 0.8336325980612532, 0.8037158343362819, 0.12316011100933769, 0.6562114208735452, 0.2042364335190015, 1.3188811717543742, 0.45876043843392933]","[0.6171202476390527, 0.35001192575792434, 0.4117173003196137, 0.15089214306565893, 1.2705870208980563, 0.19584823806143178, 0.1611835935267879, 0.1398687153605154, 0.12813328489841508, 0.4776473480149272]","[1.2025918856442401, 0.13373891959094028, 0.46263940998645176, 0.5382574862655722, 0.7473006791208794, 1.7583756518507232, 0.8609870656463341, 0.12015419616821199, 0.43193596205809753, 0.36040907186329585]","[0.888376731277941, 0.8253549743192812, 0.3279363778087766, 0.22248299048644818, 1.6648973526607145, 0.16647456451173684, 1.8917800419847906, 0.39980458570113725, 0.1328127093983225, 0.8055361707482939]"
"[0.6853660695875505, 0.4081061457812755, 0.3143619376868819, 1.2362040539293684, 1.1462730305247044, 0.4754787194824429, 1.2082233380072833, 0.5281877882358064, 0.14125331803305996, 0.1429515221492265]","[0.6240649147659508, 1.679892656567594, 1.9354402950219158, 1.2844853865665127, 1.2151155530757778, 0.7429973994501429, 0.13928477849060786, 0.9119807942798208, 0.3884807086506162, 1.1853152940922627]","[0.3859979822391728, 1.3965777809646993, 0.46392523559222976, 0.6158597223934799, 0.21974223953946925, 0.4236352049032964, 0.3327342356999833, 1.3784173237598563, 1.815342894233123, 1.3900877844888258]","[0.9086047300720637, 0.4172506148310087, 0.7398299274381772, 0.2712589339593268, 0.6972620459172842, 0.1911235740788558, 1.855435200073428, 0.441948396543979, 1.1728690169712905, 0.2525056916587707]"
"[0.32899225471840693, 1.0847960305484254, 1.141217702722341, 0.2094275179466754, 1.4840414035097218, 0.11428745273259328, 0.5626566107192632, 0.49603891827356494, 0.5644873158852302, 1.7321271814470558]","[1.2487142730212537, 0.6018519971697956, 1.3275166657869868, 0.4613649471337675, 1.4311047295679937, 0.12818455586438798, 0.10117155059232225, 0.538746429577739, 1.558733540202405, 0.33030453624649986]","[1.2053201861135021, 0.25134575104625173, 1.4059027727594986, 1.0613744152629747, 0.9623559664800738, 1.8583349626066785, 1.704250661069634, 0.17445063206898867, 0.31156454105875314, 1.31371154619918]","[1.383632972822118, 0.33367646698157416, 0.6244305485719825, 0.1357851323092589, 1.1841498652012548, 0.11141747070395434, 0.30829935298814226, 0.5395492802633588, 0.42429829443546, 1.2809048149876634]"
"[0.888376731277941, 0.4066869252903743, 0.6244305485719825, 0.17073182126933484, 0.6972620459172842, 0.14855885840500146, 0.3387264367095878, 0.39980458570113725, 0.42429829443546, 0.41214279500217027]","[0.7814240515324044, 0.7865511699519386, 1.074067564208881, 0.20190839828484636, 0.25330113175478974, 0.31338670246844863, 1.3065383199824763, 0.1434831385351254, 1.1364921493513684, 0.18507450191778238]","[0.69566893187863, 0.5273058062175766, 0.9679158987574625, 0.5266706760484207, 0.3332741643773528, 1.6829040238510748, 0.21103939207527125, 0.17195691245274486, 0.5679212808558808, 0.5818047316341991]","[0.62780381821331, 1.0240335357673502, 0.6582796806368874, 1.3043955644822596, 0.25330113175478974, 0.4165411430636366, 1.1286529053759993, 0.9412419797983448, 0.47186162539488347, 0.15811785037592002]"
"[0.4132916022573867, 0.44266164936080643, 0.7687059728949385, 0.6766320416189119, 1.729768939066804, 0.10551244623396826, 0.3724695806256637, 1.1503858615242584, 1.1343679130529913, 0.593985522544367]","[0.5900290815850229, 0.36750590699540264, 0.9813421303656414, 0.25483875704580644, 0.8631666335614339, 0.13502453609014536, 1.0296122166238848, 0.1874286493083841, 0.21464838133784997, 0.1765584110006914]","[1.0721339481157062, 0.6944689028210539, 0.4315730226930979, 0.22248299048644818, 1.1989352958042623, 1.1713141592448568, 1.3683005422839223, 0.9082980226806752, 0.9121967964037514, 0.30712594560332035]","[0.5900290815850229, 0.36750590699540264, 1.098775267130357, 0.7262975167492539, 1.7602625818194564, 0.9459638978407581, 1.0296122166238848, 0.5224817255723776, 0.2043940517206365, 1.301480323977207]"
"[1.6135860289770882, 0.19219617760481947, 0.5365408227270948, 0.5994497388634107, 1.2960537091054363, 1.5530499286406414, 0.4481594823833403, 0.4507464145195547, 0.12886018145574846, 1.7066439054161575]","[0.2700900571170289, 0.9634131260956216, 1.3477082796963324, 1.012963031861139, 0.29670914399106885, 0.5652827539148211, 0.3973189496582837, 0.45110633919616594, 0.33950186715475295, 0.46947266002160626]","[1.0078277604349193, 0.4256688171911932, 1.0161960997312804, 0.37448440210562034, 0.2345676810535248, 0.14855885840500146, 0.2576059818808905, 0.1897854550582633, 0.9121967964037514, 0.11693941762696024]","[1.2053201861135021, 0.25134575104625173, 1.6076355904871045, 1.0502602525814524, 0.787859188036216, 1.8583349626066785, 1.6262008804048875, 0.17445063206898867, 0.32749222714385046, 1.2695673555444047]"
"[1.037013791346741, 0.4406725231088975, 0.8243039022516719, 0.2625078515876443, 0.6063856567580753, 0.2934589731319048, 0.134192311841961, 0.12366332807394186, 0.9809260493347948, 0.1431034776689776]","[0.6646376059352787, 0.11447712370417922, 1.5080404631606659, 0.45855552551130696, 0.45899471769664385, 0.3088750036506332, 1.5752951547570433, 1.8341269805009788, 0.712431174609586, 0.9423603929245299]","[0.87807976486788, 0.7630409832530616, 1.0622429926914676, 0.22248299048644818, 1.6648973526607145, 0.3925375624359778, 1.8917800419847906, 1.1503858615242584, 1.1778751710474158, 0.2903123564950182]","[1.328579777890178, 0.11080890257298609, 1.1511991635631584, 0.24919546016956753, 0.5229980099292554, 0.6883014191741907, 1.9086862269751341, 1.8424648863351158, 1.2718052338023231, 0.1927139035125561]"
"[0.4364914575111218, 1.5775692048155316, 0.3243452769199246, 0.7064711424260143, 1.1522732529206245, 0.4049174396462141, 0.20310982334649205, 0.33215230376204724, 0.22288374439761968, 0.1883125938252917]","[0.2100976143523525, 0.7630409832530616, 1.0622429926914676, 0.22248299048644818, 1.6648973526607145, 0.21008360726213313, 1.8917800419847906, 0.7710038714021021, 0.9121967964037514, 0.16246012067768587]","[1.5638965383028114, 1.307821391217227, 0.6306368421675873, 0.22530890389271, 0.3956762905459378, 0.3466974351391387, 0.3709751163922374, 1.8699525455890953, 0.36120221135507835, 0.7224846454813614]","[1.7647084472050278, 0.7236610844266905, 1.134639992746194, 0.1196457360075988, 1.6211363565236137, 0.17864097043263732, 0.14573209188644431, 0.19592635727905938, 0.31156454105875314, 0.35067878064126917]"
"[0.2174517345584441, 1.2236170661703392, 1.36262889535224, 0.10883356133764874, 0.5577089581291996, 0.23580626826266113, 0.4434938110639394, 0.21081646923158523, 0.7391793945266777, 0.20896996403765386]","[0.7973486171549641, 0.14313341818069455, 0.33178236392774824, 0.14441681639225507, 0.593019439100376, 0.4701014525747501, 0.3888858473949733, 0.18080880787697381, 0.25315446760173044, 0.2903123564950182]","[0.725691604778719, 0.776419242516583, 1.3272310201551787, 1.3764405402177615, 0.5756960454387746, 0.24389727046317208, 1.4064115036270772, 0.7940427568445538, 0.9422080171637724, 0.36990453727895634]","[0.38916657093249235, 1.679892656567594, 1.9354402950219158, 1.4514339033730221, 1.2151155530757778, 0.4255012842344385, 1.1365197776252691, 0.21554814382941279, 1.3601596275239423, 0.20896996403765386]"
"[0.1158441892088719, 0.3036061884187108, 0.16178734275392476, 0.6664182857215034, 0.24698261230234833, 0.5876212565351159, 0.6124476656309903, 0.3299789427830419, 0.31282636914484613, 0.8398487092042146]","[0.6567142793318287, 0.44266164936080643, 0.6903751291360379, 0.1679067734410966, 0.6326814467926737, 0.14855885840500146, 0.33107989308826236, 1.1503858615242584, 0.6089592504357181, 1.2540187084052268]","[0.6402907342591326, 1.002490287378572, 0.57888726843153, 1.3043955644822596, 1.847572356972005, 0.4165411430636366, 1.1286529053759993, 0.9412419797983448, 0.47186162539488347, 1.321573412255448]","[0.21135921092666038, 0.15645713954560045, 0.3279363778087766, 0.10258282936359507, 0.3521043206720035, 0.1721711952810393, 0.5009317478679205, 0.12324492927153767, 0.1328127093983225, 0.8055361707482939]"
"[1.7587727207825705, 0.5534914088927945, 0.20944380028947462, 0.15000036949258239, 0.32148323053938566, 0.7811222316168042, 0.6280753242150471, 1.8928096792653404, 0.12114650938193543, 0.43869124665024806]","[0.890009802295894, 0.36001556689901143, 0.3279363778087766, 0.6418359535644489, 1.8470756002351605, 0.8066870699123112, 1.1731863636024162, 0.26699127081147206, 0.6580696003623391, 0.8714269568729041]","[1.6894817229505619, 1.2359900057525743, 0.2478349969022484, 0.1756096573561131, 0.6064087716819119, 0.663774338103652, 0.25863192737055, 0.7610450644840299, 1.2267406066162527, 1.978632315025514]","[0.3859979822391728, 1.3965777809646993, 0.46392523559222976, 0.6158597223934799, 0.21974223953946925, 0.4236352049032964, 0.3327342356999833, 1.3784173237598563, 1.815342894233123, 1.3900877844888258]"
"[0.6064696989922038, 0.8440665368972584, 0.4117173003196137, 0.2546750737282078, 1.0590412434043257, 0.17613665214698607, 0.1611835935267879, 0.4253859688079328, 0.15007100191591316, 0.3836300122147098]","[1.7374285786654582, 0.8734350546004483, 0.4315730226930979, 0.14595115336728617, 0.22274049580125793, 0.4516660101729519, 0.1625723537033197, 0.6362722366617882, 0.8253948448444738, 0.2815025005554221]","[0.1032545739254087, 0.8562761343721212, 0.5676693117290378, 0.18394222596914225, 0.2801310775304275, 0.9834219092661349, 0.9949593009950326, 0.3455231059711363, 0.9601482569152067, 0.6828938194335568]","[1.2053201861135021, 0.11105908835804898, 0.9923008579497713, 0.23656497093939088, 0.1288832829985892, 0.6858202560587252, 1.9086862269751341, 1.0194057536713266, 0.12373519675909414, 0.2075310456628601]"
"[0.12220696596094124, 0.3566897466519024, 1.4817469188972863, 1.0445094047188188, 0.5637473512950816, 0.5252176229403798, 0.4153610947647169, 0.168569360585299, 0.1250843591690313, 0.4776473480149272]","[0.5841680605011076, 0.11080890257298609, 0.9747838171523105, 1.147424720347925, 1.1274507920817194, 1.0721010470456336, 1.5420412732389095, 0.33228366619321364, 0.8882241480592252, 0.844896387484467]","[0.10898596133378122, 0.6995663570653236, 0.26776174027418387, 0.4803122748234996, 0.3293849203998091, 0.5154191701811714, 0.9500834691278577, 0.5456653321291299, 0.6235750136128833, 0.1325109774811882]","[0.7886550829526351, 0.7630409832530616, 1.0622429926914676, 0.5523140139723038, 0.41196446541840825, 0.21008360726213313, 1.8917800419847906, 0.8859457779905613, 0.8046503937962234, 0.2675917989288494]"
